問題,選択肢1,選択肢2,選択肢3,選択肢4,正解
"指定した領域の面積を計測するコマンドは？","DIST","AREA","AREACALC","DIVIDE","AREA"
"図面のエラーをチェックし修正するコマンドは？","AUDIT","PURGE","INSPECT","VERIFY","AUDIT"
"オブジェクトに中心線を追加するコマンドは？","CENTERLINE","XLINE","LEADER","DIMCONTINUE","CENTERLINE"
"2つの図面を比較し差分を表示するコマンドは？","COMPARE","CONTRAST","SIMILAR","MATCHUP","COMPARE"
"長さ寸法を連続記入するコマンドは？","DIMCONTINUE","DIMLINEAR","DIMARRAY","DIMALIGNED","DIMCONTINUE"
"円や円弧の半径寸法を記入するコマンドは？","DIMRADIUS","DIMANGLE","DIMLINEAR","DIMCIRC","DIMRADIUS"
"寸法間の間隔を均等に調整するコマンドは？","DIMSPACE","DIMGAP","DIMALIGN","DIMOFFSET","DIMSPACE"
"2点間の距離を測定するコマンドは？","DIST","LENGTHEN","MEASURE","DIVIDE","DIST"
"オブジェクトを指定した数で等分割するコマンドは？","DIVIDE","ARRAY","SEGMENT","OVERKILL","DIVIDE"
"ハッチングを背面に移動するコマンドは？","HATCHTOBACK","HATCHFRONT","LAYERWALK","TEXTTOFRONT","HATCHTOBACK"
"画層の状態を直前の状態に戻すコマンドは？","LAYERP","LAYISO","LAYERUNDO","LAYMRG","LAYERP"
"指定した画層を強制削除するコマンドは？","LAYDEL","PURGE","CLEANUP","LAYREMOVE","LAYDEL"
"特定の画層以外を非表示あるいはロックするコマンドは？","LAYISO","LAYLOCKOUT","LAYVISOFF","LAYFILTER","LAYISO"
"複数の画層を統合するコマンドは？","LAYMRG","LAYMERGE","LAYERP","LAYUNIFY","LAYMRG"
"画層一覧から、選択した画層上のオブジェクトのみを表示するコマンドは？","LAYWALK","LAYLIST","LAYERVIEW","LAYBROWSER","LAYWALK"
"オブジェクトの長さを変更するコマンドは？","LENGTHEN","LENGTHMOD","SCALELENGTH","EXTENDL","LENGTHEN"
"矢印付き注釈を作成するコマンドは？","MLEADER","LEADER","MULTILEAD","ARROWANNOTATE","MLEADER"
"重複オブジェクトを削除するコマンドは？","OVERKILL","DUPREMOVER","PURGE","CLEANUP","OVERKILL"
"指定した辺数の多角形を作成するコマンドは？","POLYGON","REGULAR","MULTISIDE","FIGURE","POLYGON"
"複数の図面をまとめて印刷するコマンドは？","PUBLISH","PRINTSET","BATCHPRINT","PRINTALL","PUBLISH"
"未使用のブロック定義や画層などの項目を図面から除去し軽量化するコマンドは？","PURGE","CLEANUP","REMOVE","ERASE","PURGE"
"指定した点から無限に延びる放射線を作成するコマンドは？","RAY","XLINE","RADIATE","LINE","RAY"
"破損した図面を修復するコマンドは？","RECOVER","REPAIR","RESTORE","FIXDWG","RECOVER"
"ブロックや画層の名前などを変更するコマンドは？","RENAME","CHANGE","MODIFY","LABEL","RENAME"
"類似プロパティを持つオブジェクトを一括選択するコマンドは？","SELECTSIMILAR","QSELECT","OBJECTMATCH","FINDSIMILAR","SELECTSIMILAR"
"テキストを水平方向または垂直方向に整列するコマンドは？","TEXTALIGN","ALIGNTEXT","TEXTARRANGE","SHIFTALIGN","TEXTALIGN"
"全ての文字を最前面に移動するコマンドは？","TEXTTOFRONT","FRONTTEXT","TEXTBRINGFORWARD","RAISETEXT","TEXTTOFRONT"
"複数の文字を一つのマルチテキストに結合するコマンドは？","TXT2MTXT","COMBMTXT","MTEXTJOIN","MERGEPHRASE","TXT2MTXT"
"指定した領域をマスクして隠すコマンドは？","WIPEOUT","COVERUP","MASKAREA","HIDEREGION","WIPEOUT"
"無限に延びる直線(構築線)を作成するコマンドは？","XLINE","CONSTRUCTION","LINEDRAW","EXTENDLINE","XLINE"
